Palabra,Largo de la Palabra,Tiempo A[s],Tiempo B[s],Tiempo A[ms],Tiempo B[ms]
abaabacabacacccbbccaacbbabaabaccbacbbabbacaaaabbbbbacbaacbbbcabaaaccabcaccbaabbcbccaacaabaabcbbbccaacabbbbbabbaabbccbbccbcbbcbbccbacabcbccacaccbacabacbcccaccbcaacbcccbaaabccbcacbacabacbbcaccabbbbaaacacabcabaabbbaaabbcabbcacaaacbcbbbcababaabccaaabbbabaacaacacaacbcabcaabccbcbccabcabaaccccacbcacbacbcacbccbabcbababaacaacabcbbbbaaccbbcacabaccabbaaaabbccabccabbbcbcbabbaabaabbbbcccbbaaaabcbbacccccccabababbcbabaaaaaabcccbcbaaccaaabbacccacabbbababccbacbaaccacacbbaaacbcaccbaabbcca,475,5.065890000,0.030983000,5065.890,30.983
cacabbaaaaabcaaababcaccabbcabbccbbcbbbbacacaccaabbbacccccccbbbbcabaccbccaabaccbaababcbaacaabbcbabbbbaaabbaaaacacaccbcbbacbbabbbcababcccaacacacbaaabbcbcbbcbbcbcbacbababaaaccbbbcabbacbbbbcbcaccbccacabbbabaccabcccaccaaababcccaaabaacbcbcccbaabbaccccabaaaaccaaaabbaacaaabbabccacaabcbcacbcbabaacacabacbbcaacccbaaccacbcaabcacbbccbcbcbbababaaccbcbaacbaccbcaccbccbcabbacabbacbcacc,371,2.412277000,0.016374000,2412.277,16.374
bcaaaabbaacccbacbbcabccbbbaabbbabcbabaabccbcabcabccbbcbbbbacabacbcabbababaaaccacaaabbcbcbbaaccabccabbcacbbcaacabcaabcabbcabacbbbaccaaabcacacbbabbabaacbcaacbcabcbcabbcc,167,0.210705000,0.003006000,210.705,3.006
bbccbbccaaabaccbbaaaabcbccbaabbcbbcacabcabccaacccbbabacccaacacaaaaababcccbcabababcbaccbbbccbabbcacbbbcabccaacbacbbabcabcbbaaaacbcacbbababaabababbbbcabaacacaaacbabbcabaccbccacabbcbcbbaacacabcccaaaabcbbbabaacaacbabaaabcccbabcaccaaccbbacbacbaaccbbabaccccacaabbcbabacbbbcaacbbaaabcabaabcccabbccccaacccacbbaabbccbaccccbccababaabbccbabbbcabaaacaabbcbaacaaaacabcababbabcacccabccbaabbbcbbccbcbabbbbcbbbaccaabacaaccbaccaaccacbcbcacbbbaacacbaabbabbcabbabbabcacabcbcbbcbbaccbababacbbaacaab,478,5.096006000,0.028345000,5096.006,28.345
babcaccbcbbacaacabaacbcbabccccabbbbabaccaaabaaabacbbaaabbabbbcacccbcccbcabbbaacaabcabcabcacaaacbabbcbccbccbcabacaccbacaccbbabbbacacababbcbabbcabbacacacbaabbcbcccbcbbaacccabbbbbacccaaaacbacbccaabacabbbcababaaaabcaaacaacaccbabbcbabcccbaaacbabcbacabbbacbaccaaabccccabbccccbcbaacaccacabcccbbccabacbabb,297,1.131408000,0.009623000,1131.408,9.623
baacabcbbcaacbccaccbabcabbabccccbbcaabaaacbaaccacaaaccccacaabbcbcbcaaaccacbabcabacaacbacaabbbacabaabaccaaaaaccccabcaaacbcbabcaacccbacaaaabcbabaabccabccacbabaaaccabcaaaacababbccbaabcccbcaaacabbabcbbcbcababccbcacccabcaaccbcbbabaccacbbbcccbbcaacacabaacbaacaabaccacacaabcbaaaaaaccbbabbabbcacbaababbabacaaacbcbcbaababcabcabcbcbccaaccaccccabbbccaa,341,1.734134000,0.012803000,1734.134,12.803
babaaaabbbbcbcabccacabcaabcbcaababacbaacbbaabccaccccbacbcababcaacabacababaccaabaaacbaacaabbbbabacacbbbaacabbaabccabcacbcaaabcaabacccccbcbacaacacbaccaabbbaacbaaabbabbbbbabaabbbbbbbbabbcbbaaccabcccbcbbbababccbbcbbcccababccccabcaccabbabbabbaccabbbaabbbbccbcbbaabcbabcabcacabcaacaaaaccbabcccabcbaacacaaacabacbbbcaaaaacbcbcaabbcccccbcacacbacabbccccbca,346,1.818909000,0.014438000,1818.909,14.438
aabacbababaacabbcacaaccbcbcbacabababcccbccacccaacabbbbaaccaaccacbacabbcbccbaccacccbbaabbababcbbcccacbcacbbbaabbabbbcbacbacbabbcabbbbccacababacbcaccaaaacbcbabaccbabbaccaaacbcaaabcaccbccaabcccc,191,0.300685000,0.003441000,300.685,3.441
aacaaaaaaaaabcaccaabcaa,23,0.000640000,0.000077000,0.640,0.077
ababbabccabcacbcbbccaaccbaaacabbcabacbbcbbbbbccabbcbaaacaabbbbaacabcabcacacbacbcaacbaccbacabbabcbbbcbabbcababbbcabacccaccbabcbccbaaaccccbaaaacccbaaabcbccabbaacbcaaacacccbcbcbab,176,0.234277000,0.002915000,234.277,2.915
